Starting training on Pendulum-v1...
Episode: 0, Steps: 200, Total Reward: -1402.76
Episode: 1, Steps: 200, Total Reward: -1393.31
Episode: 2, Steps: 200, Total Reward: -1077.86
Episode: 3, Steps: 200, Total Reward: -1518.78
Episode: 4, Steps: 200, Total Reward: -1504.06
Episode: 5, Steps: 200, Total Reward: -1417.75
Episode: 6, Steps: 200, Total Reward: -1376.09
Episode: 7, Steps: 200, Total Reward: -1333.64
Episode: 8, Steps: 200, Total Reward: -1534.46
Episode: 9, Steps: 200, Total Reward: -1537.98
Episode: 10, Steps: 200, Total Reward: -1133.93
Episode: 11, Steps: 200, Total Reward: -1098.02
Episode: 12, Steps: 200, Total Reward: -992.58
Episode: 13, Steps: 200, Total Reward: -1070.53
Episode: 14, Steps: 200, Total Reward: -744.54
Episode: 15, Steps: 200, Total Reward: -1202.58
Episode: 16, Steps: 200, Total Reward: -1211.90
Episode: 17, Steps: 200, Total Reward: -1669.52
Episode: 18, Steps: 200, Total Reward: -1439.08
Episode: 19, Steps: 200, Total Reward: -1463.45
Episode: 20, Steps: 200, Total Reward: -1461.81
Episode: 21, Steps: 200, Total Reward: -1497.96
Episode: 22, Steps: 200, Total Reward: -1621.63
Episode: 23, Steps: 200, Total Reward: -1199.94
Episode: 24, Steps: 200, Total Reward: -1404.64
Episode: 25, Steps: 200, Total Reward: -1420.95
Episode: 26, Steps: 200, Total Reward: -1037.83
Episode: 27, Steps: 200, Total Reward: -1653.08
Episode: 28, Steps: 200, Total Reward: -1700.67
Episode: 29, Steps: 200, Total Reward: -1680.19
Episode: 30, Steps: 200, Total Reward: -1595.42
Episode: 31, Steps: 200, Total Reward: -1716.63
Episode: 32, Steps: 200, Total Reward: -1829.45
Episode: 33, Steps: 200, Total Reward: -1595.03
Episode: 34, Steps: 200, Total Reward: -1813.18
Episode: 35, Steps: 200, Total Reward: -1797.90
Episode: 36, Steps: 200, Total Reward: -1477.77
Episode: 37, Steps: 200, Total Reward: -1576.04
Episode: 38, Steps: 200, Total Reward: -1273.56
Episode: 39, Steps: 200, Total Reward: -1474.99
Episode: 40, Steps: 200, Total Reward: -1669.95
Episode: 41, Steps: 200, Total Reward: -1660.96
Episode: 42, Steps: 200, Total Reward: -1557.35
Episode: 43, Steps: 200, Total Reward: -1392.17
Episode: 44, Steps: 200, Total Reward: -1206.95
Episode: 45, Steps: 200, Total Reward: -1657.32
Episode: 46, Steps: 200, Total Reward: -1211.67
Episode: 47, Steps: 200, Total Reward: -1580.59
Episode: 48, Steps: 200, Total Reward: -1532.44
Episode: 49, Steps: 200, Total Reward: -1363.87
Episode: 50, Steps: 200, Total Reward: -1576.57
Episode: 51, Steps: 200, Total Reward: -1605.02
Episode: 52, Steps: 200, Total Reward: -1469.11
Episode: 53, Steps: 200, Total Reward: -1599.14
Episode: 54, Steps: 200, Total Reward: -1202.10
Episode: 55, Steps: 200, Total Reward: -1645.04
Episode: 56, Steps: 200, Total Reward: -1204.51
Episode: 57, Steps: 200, Total Reward: -1169.18
Episode: 58, Steps: 200, Total Reward: -1308.54
Episode: 59, Steps: 200, Total Reward: -1190.35
Episode: 60, Steps: 200, Total Reward: -1052.40
Episode: 61, Steps: 200, Total Reward: -1098.04
Episode: 62, Steps: 200, Total Reward: -1632.53
Episode: 63, Steps: 200, Total Reward: -1419.97
Episode: 64, Steps: 200, Total Reward: -1095.71
Episode: 65, Steps: 200, Total Reward: -1263.86
Episode: 66, Steps: 200, Total Reward: -1532.45
Episode: 67, Steps: 200, Total Reward: -1342.46
Episode: 68, Steps: 200, Total Reward: -967.94
Episode: 69, Steps: 200, Total Reward: -1067.00
Episode: 70, Steps: 200, Total Reward: -1734.01
Episode: 71, Steps: 200, Total Reward: -1093.72
Episode: 72, Steps: 200, Total Reward: -1460.04
Episode: 73, Steps: 200, Total Reward: -1519.60
Episode: 74, Steps: 200, Total Reward: -1287.11
Episode: 75, Steps: 200, Total Reward: -1291.73
Episode: 76, Steps: 200, Total Reward: -1192.66
Episode: 77, Steps: 200, Total Reward: -1013.57
Episode: 78, Steps: 200, Total Reward: -1487.70
Episode: 79, Steps: 200, Total Reward: -1605.75
Episode: 80, Steps: 200, Total Reward: -1514.40
Episode: 81, Steps: 200, Total Reward: -1319.07
Episode: 82, Steps: 200, Total Reward: -1051.72
Episode: 83, Steps: 200, Total Reward: -1319.71
Episode: 84, Steps: 200, Total Reward: -1077.78
Episode: 85, Steps: 200, Total Reward: -882.77
Episode: 86, Steps: 200, Total Reward: -1064.81
Episode: 87, Steps: 200, Total Reward: -1192.42
Episode: 88, Steps: 200, Total Reward: -984.98
Episode: 89, Steps: 200, Total Reward: -1101.37
Episode: 90, Steps: 200, Total Reward: -1150.77
Episode: 91, Steps: 200, Total Reward: -948.98
Episode: 92, Steps: 200, Total Reward: -1593.25
Episode: 93, Steps: 200, Total Reward: -1294.28
Episode: 94, Steps: 200, Total Reward: -1473.97
Episode: 95, Steps: 200, Total Reward: -998.54
Episode: 96, Steps: 200, Total Reward: -1241.87
Episode: 97, Steps: 200, Total Reward: -1601.52
Episode: 98, Steps: 200, Total Reward: -1098.21
Episode: 99, Steps: 200, Total Reward: -1471.27
Episode: 100, Steps: 200, Total Reward: -1172.70
Episode: 101, Steps: 200, Total Reward: -1026.24
Episode: 102, Steps: 200, Total Reward: -1355.32
Episode: 103, Steps: 200, Total Reward: -1423.37
Episode: 104, Steps: 200, Total Reward: -1277.27
Episode: 105, Steps: 200, Total Reward: -1165.88
Episode: 106, Steps: 200, Total Reward: -1006.09
Episode: 107, Steps: 200, Total Reward: -1756.20
Episode: 108, Steps: 200, Total Reward: -1677.21
Episode: 109, Steps: 200, Total Reward: -1345.95
Episode: 110, Steps: 200, Total Reward: -1385.23
Episode: 111, Steps: 200, Total Reward: -1717.24
Episode: 112, Steps: 200, Total Reward: -1132.19
Episode: 113, Steps: 200, Total Reward: -1211.62
Episode: 114, Steps: 200, Total Reward: -1245.23
Episode: 115, Steps: 200, Total Reward: -1535.16
Episode: 116, Steps: 200, Total Reward: -1106.11
Episode: 117, Steps: 200, Total Reward: -1180.44
Episode: 118, Steps: 200, Total Reward: -1026.26
