Starting training on Pendulum-v1...
Episode: 0, Steps: 200, Total Reward: -906.21
Episode: 1, Steps: 200, Total Reward: -1018.74
Episode: 2, Steps: 200, Total Reward: -1080.31
Episode: 3, Steps: 200, Total Reward: -1015.60
Episode: 4, Steps: 200, Total Reward: -1728.64
Episode: 5, Steps: 200, Total Reward: -904.90
Episode: 6, Steps: 200, Total Reward: -1342.87
Episode: 7, Steps: 200, Total Reward: -1463.77
Episode: 8, Steps: 200, Total Reward: -1761.26
Episode: 9, Steps: 200, Total Reward: -1226.10
Episode: 10, Steps: 200, Total Reward: -1020.96
Episode: 11, Steps: 200, Total Reward: -1027.69
Episode: 12, Steps: 200, Total Reward: -868.99
Episode: 13, Steps: 200, Total Reward: -1160.01
Episode: 14, Steps: 200, Total Reward: -1373.46
Episode: 15, Steps: 200, Total Reward: -1283.57
Episode: 16, Steps: 200, Total Reward: -1695.76
Episode: 17, Steps: 200, Total Reward: -1151.28
Episode: 18, Steps: 200, Total Reward: -1525.72
Episode: 19, Steps: 200, Total Reward: -1485.97
Episode: 20, Steps: 200, Total Reward: -1256.00
Episode: 21, Steps: 200, Total Reward: -1595.56
Episode: 22, Steps: 200, Total Reward: -1166.44
Episode: 23, Steps: 200, Total Reward: -984.03
Episode: 24, Steps: 200, Total Reward: -1299.81
Episode: 25, Steps: 200, Total Reward: -1012.15
Episode: 26, Steps: 200, Total Reward: -959.28
Episode: 27, Steps: 200, Total Reward: -967.61
Episode: 28, Steps: 200, Total Reward: -1466.38
Episode: 29, Steps: 200, Total Reward: -1636.52
Episode: 30, Steps: 200, Total Reward: -1368.76
Episode: 31, Steps: 200, Total Reward: -1529.32
Episode: 32, Steps: 200, Total Reward: -1028.53
Episode: 33, Steps: 200, Total Reward: -1361.15
Episode: 34, Steps: 200, Total Reward: -1274.37
Episode: 35, Steps: 200, Total Reward: -1068.02
Episode: 36, Steps: 200, Total Reward: -1695.42
Episode: 37, Steps: 200, Total Reward: -957.50
Episode: 38, Steps: 200, Total Reward: -1051.15
Episode: 39, Steps: 200, Total Reward: -1277.51
Episode: 40, Steps: 200, Total Reward: -1647.31
Episode: 41, Steps: 200, Total Reward: -1315.75
Episode: 42, Steps: 200, Total Reward: -1354.65
Episode: 43, Steps: 200, Total Reward: -1104.40
Episode: 44, Steps: 200, Total Reward: -1393.18
Episode: 45, Steps: 200, Total Reward: -1568.20
Episode: 46, Steps: 200, Total Reward: -1130.37
Episode: 47, Steps: 200, Total Reward: -1339.22
Episode: 48, Steps: 200, Total Reward: -1805.90
Episode: 49, Steps: 200, Total Reward: -1501.57
Episode: 50, Steps: 200, Total Reward: -1158.72
Episode: 51, Steps: 200, Total Reward: -1765.75
Episode: 52, Steps: 200, Total Reward: -1483.95
Episode: 53, Steps: 200, Total Reward: -1183.64
Episode: 54, Steps: 200, Total Reward: -1601.07
Episode: 55, Steps: 200, Total Reward: -1339.04
Episode: 56, Steps: 200, Total Reward: -1204.98
Episode: 57, Steps: 200, Total Reward: -1368.15
