Starting training on Pendulum-v1...
State Dim: 3, Action Dim: 1, Max Action: 2.0
Hyperparameters: ActorLR=0.0005, CriticLR=0.001, Gamma=0.99, Sigma=1.0
Episode: 0, Steps: 200, Total Reward: -1636.56
Episode: 1, Steps: 200, Total Reward: -983.28
Episode: 2, Steps: 200, Total Reward: -1477.89
Episode: 3, Steps: 200, Total Reward: -1240.58
Episode: 4, Steps: 200, Total Reward: -1466.81
Episode: 5, Steps: 200, Total Reward: -1590.83
Episode: 6, Steps: 200, Total Reward: -1464.44
Episode: 7, Steps: 200, Total Reward: -1307.66
Episode: 8, Steps: 200, Total Reward: -1447.05
Episode: 9, Steps: 200, Total Reward: -1629.01
Episode: 10, Steps: 200, Total Reward: -1174.23
Episode: 11, Steps: 200, Total Reward: -1064.75
Episode: 12, Steps: 200, Total Reward: -1218.95
Episode: 13, Steps: 200, Total Reward: -1178.41
Episode: 14, Steps: 200, Total Reward: -1406.99
Episode: 15, Steps: 200, Total Reward: -1279.14
Episode: 16, Steps: 200, Total Reward: -1739.85
Episode: 17, Steps: 200, Total Reward: -1193.21
Episode: 18, Steps: 200, Total Reward: -1267.37
Episode: 19, Steps: 200, Total Reward: -1558.32
Episode: 20, Steps: 200, Total Reward: -1755.05
Episode: 21, Steps: 200, Total Reward: -1166.93
Episode: 22, Steps: 200, Total Reward: -1702.86
Episode: 23, Steps: 200, Total Reward: -1271.78
Episode: 24, Steps: 200, Total Reward: -1509.56
Episode: 25, Steps: 200, Total Reward: -1279.27
Episode: 26, Steps: 200, Total Reward: -1723.65
Episode: 27, Steps: 200, Total Reward: -1088.54
Episode: 28, Steps: 200, Total Reward: -1063.54
Episode: 29, Steps: 200, Total Reward: -1155.22
Episode: 30, Steps: 200, Total Reward: -1554.67
Episode: 31, Steps: 200, Total Reward: -1573.27
Episode: 32, Steps: 200, Total Reward: -1311.99
Episode: 33, Steps: 200, Total Reward: -1337.10
Episode: 34, Steps: 200, Total Reward: -1323.58
Episode: 35, Steps: 200, Total Reward: -1303.62
Episode: 36, Steps: 200, Total Reward: -1154.83
Episode: 37, Steps: 200, Total Reward: -1492.37
Episode: 38, Steps: 200, Total Reward: -1323.18
Episode: 39, Steps: 200, Total Reward: -1061.35
Episode: 40, Steps: 200, Total Reward: -1259.20
Episode: 41, Steps: 200, Total Reward: -1275.62
Episode: 42, Steps: 200, Total Reward: -1453.70
Episode: 43, Steps: 200, Total Reward: -1378.13
Episode: 44, Steps: 200, Total Reward: -1324.21
Episode: 45, Steps: 200, Total Reward: -1387.93
Episode: 46, Steps: 200, Total Reward: -1186.03
Episode: 47, Steps: 200, Total Reward: -1083.42
Episode: 48, Steps: 200, Total Reward: -1241.89
Episode: 49, Steps: 200, Total Reward: -1466.08
Episode: 50, Steps: 200, Total Reward: -862.73
Episode: 51, Steps: 200, Total Reward: -1314.10
Episode: 52, Steps: 200, Total Reward: -1069.41
Episode: 53, Steps: 200, Total Reward: -1650.62
Episode: 54, Steps: 200, Total Reward: -1177.20
Episode: 55, Steps: 200, Total Reward: -1073.44
Episode: 56, Steps: 200, Total Reward: -1320.11
Episode: 57, Steps: 200, Total Reward: -1673.10
Episode: 58, Steps: 200, Total Reward: -1152.19
Episode: 59, Steps: 200, Total Reward: -744.73
Episode: 60, Steps: 200, Total Reward: -1163.94
Episode: 61, Steps: 200, Total Reward: -891.12
Episode: 62, Steps: 200, Total Reward: -1164.32
Episode: 63, Steps: 200, Total Reward: -1506.43
Episode: 64, Steps: 200, Total Reward: -959.79
Episode: 65, Steps: 200, Total Reward: -1484.51
