Starting training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1555.70
Episode: 1, Steps: 200, Sigma: 1.000, Reward: -1042.86
Episode: 2, Steps: 200, Sigma: 1.000, Reward: -1219.41
Episode: 3, Steps: 200, Sigma: 0.999, Reward: -1071.67
Episode: 4, Steps: 200, Sigma: 0.999, Reward: -1278.00
Episode: 5, Steps: 200, Sigma: 0.999, Reward: -1178.71
Episode: 6, Steps: 200, Sigma: 0.999, Reward: -1467.26
Episode: 7, Steps: 200, Sigma: 0.999, Reward: -1184.71
Episode: 8, Steps: 200, Sigma: 0.999, Reward: -1262.77
Episode: 9, Steps: 200, Sigma: 0.998, Reward: -1555.58
Episode: 10, Steps: 200, Sigma: 0.998, Reward: -1667.00
Episode: 11, Steps: 200, Sigma: 0.998, Reward: -1829.58
Episode: 12, Steps: 200, Sigma: 0.998, Reward: -1146.89
Episode: 13, Steps: 200, Sigma: 0.998, Reward: -1040.42
Episode: 14, Steps: 200, Sigma: 0.997, Reward: -1035.21
Episode: 15, Steps: 200, Sigma: 0.997, Reward: -996.90
Episode: 16, Steps: 200, Sigma: 0.997, Reward: -1167.21
Episode: 17, Steps: 200, Sigma: 0.997, Reward: -886.98
Episode: 18, Steps: 200, Sigma: 0.997, Reward: -1182.71
Episode: 19, Steps: 200, Sigma: 0.997, Reward: -1715.75
Episode: 20, Steps: 200, Sigma: 0.996, Reward: -1689.98
Episode: 21, Steps: 200, Sigma: 0.996, Reward: -1048.13
Episode: 22, Steps: 200, Sigma: 0.996, Reward: -1440.65
Episode: 23, Steps: 200, Sigma: 0.996, Reward: -1405.84
Episode: 24, Steps: 200, Sigma: 0.996, Reward: -1217.51
Episode: 25, Steps: 200, Sigma: 0.996, Reward: -1761.84
Episode: 26, Steps: 200, Sigma: 0.995, Reward: -1302.81
Episode: 27, Steps: 200, Sigma: 0.995, Reward: -1561.79
Episode: 28, Steps: 200, Sigma: 0.995, Reward: -1615.73
Episode: 29, Steps: 200, Sigma: 0.995, Reward: -1338.90
Episode: 30, Steps: 200, Sigma: 0.995, Reward: -1166.25
Episode: 31, Steps: 200, Sigma: 0.994, Reward: -1117.77
