Starting training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1323.71
Episode: 1, Steps: 200, Sigma: 1.000, Reward: -1455.76
Episode: 2, Steps: 200, Sigma: 0.999, Reward: -1450.68
Episode: 3, Steps: 200, Sigma: 0.999, Reward: -1789.26
Episode: 4, Steps: 200, Sigma: 0.998, Reward: -1738.59
Episode: 5, Steps: 200, Sigma: 0.998, Reward: -1737.98
Episode: 6, Steps: 200, Sigma: 0.997, Reward: -1768.95
Episode: 7, Steps: 200, Sigma: 0.997, Reward: -1802.01
Episode: 8, Steps: 200, Sigma: 0.996, Reward: -1831.95
Episode: 9, Steps: 200, Sigma: 0.996, Reward: -1713.62
Episode: 10, Steps: 200, Sigma: 0.996, Reward: -1795.70
Episode: 11, Steps: 200, Sigma: 0.995, Reward: -1838.14
Episode: 12, Steps: 200, Sigma: 0.995, Reward: -1623.71
Episode: 13, Steps: 200, Sigma: 0.994, Reward: -1427.74
Episode: 14, Steps: 200, Sigma: 0.994, Reward: -1454.93
Episode: 15, Steps: 200, Sigma: 0.993, Reward: -1519.72
Episode: 16, Steps: 200, Sigma: 0.993, Reward: -1526.28
Episode: 17, Steps: 200, Sigma: 0.992, Reward: -1041.85
Episode: 18, Steps: 200, Sigma: 0.992, Reward: -1616.58
Episode: 19, Steps: 200, Sigma: 0.991, Reward: -933.26
Episode: 20, Steps: 200, Sigma: 0.991, Reward: -1494.49
Episode: 21, Steps: 200, Sigma: 0.991, Reward: -1432.38
Episode: 22, Steps: 200, Sigma: 0.990, Reward: -1440.40
Episode: 23, Steps: 200, Sigma: 0.990, Reward: -1277.01
Episode: 24, Steps: 200, Sigma: 0.989, Reward: -1672.04
Episode: 25, Steps: 200, Sigma: 0.989, Reward: -1371.65
Episode: 26, Steps: 200, Sigma: 0.988, Reward: -1429.20
Episode: 27, Steps: 200, Sigma: 0.988, Reward: -1326.09
Episode: 28, Steps: 200, Sigma: 0.987, Reward: -1507.63
Episode: 29, Steps: 200, Sigma: 0.987, Reward: -1433.67
Episode: 30, Steps: 200, Sigma: 0.987, Reward: -1511.60
Episode: 31, Steps: 200, Sigma: 0.986, Reward: -1508.06
Episode: 32, Steps: 200, Sigma: 0.986, Reward: -1511.76
Episode: 33, Steps: 200, Sigma: 0.985, Reward: -1481.12
Episode: 34, Steps: 200, Sigma: 0.985, Reward: -1495.41
Episode: 35, Steps: 200, Sigma: 0.984, Reward: -1523.70
Episode: 36, Steps: 200, Sigma: 0.984, Reward: -1537.35
Episode: 37, Steps: 200, Sigma: 0.984, Reward: -1776.99
Episode: 38, Steps: 200, Sigma: 0.983, Reward: -1331.53
Episode: 39, Steps: 200, Sigma: 0.983, Reward: -1233.21
Episode: 40, Steps: 200, Sigma: 0.982, Reward: -1299.12
Episode: 41, Steps: 200, Sigma: 0.982, Reward: -1478.94
Episode: 42, Steps: 200, Sigma: 0.981, Reward: -1614.88
Episode: 43, Steps: 200, Sigma: 0.981, Reward: -1807.75
Episode: 44, Steps: 200, Sigma: 0.980, Reward: -1566.15
Episode: 45, Steps: 200, Sigma: 0.980, Reward: -1500.55
Episode: 46, Steps: 200, Sigma: 0.980, Reward: -1495.03
Episode: 47, Steps: 200, Sigma: 0.979, Reward: -1518.68
Episode: 48, Steps: 200, Sigma: 0.979, Reward: -1517.24
Episode: 49, Steps: 200, Sigma: 0.978, Reward: -1460.31
Episode: 50, Steps: 200, Sigma: 0.978, Reward: -1541.77
Episode: 51, Steps: 200, Sigma: 0.977, Reward: -1536.59
Episode: 52, Steps: 200, Sigma: 0.977, Reward: -1552.77
Episode: 53, Steps: 200, Sigma: 0.976, Reward: -1751.38
Episode: 54, Steps: 200, Sigma: 0.976, Reward: -1636.37
Episode: 55, Steps: 200, Sigma: 0.976, Reward: -1509.13
Episode: 56, Steps: 200, Sigma: 0.975, Reward: -1405.46
Episode: 57, Steps: 200, Sigma: 0.975, Reward: -1646.35
Episode: 58, Steps: 200, Sigma: 0.974, Reward: -1427.45
Episode: 59, Steps: 200, Sigma: 0.974, Reward: -1337.45
Episode: 60, Steps: 200, Sigma: 0.973, Reward: -1563.18
Episode: 61, Steps: 200, Sigma: 0.973, Reward: -1492.85
Episode: 62, Steps: 200, Sigma: 0.973, Reward: -1558.62
Episode: 63, Steps: 200, Sigma: 0.972, Reward: -1369.43
Episode: 64, Steps: 200, Sigma: 0.972, Reward: -1629.66
Episode: 65, Steps: 200, Sigma: 0.971, Reward: -1565.82
Episode: 66, Steps: 200, Sigma: 0.971, Reward: -1417.51
Episode: 67, Steps: 200, Sigma: 0.970, Reward: -1311.42
Episode: 68, Steps: 200, Sigma: 0.970, Reward: -1341.22
Episode: 69, Steps: 200, Sigma: 0.969, Reward: -1478.47
Episode: 70, Steps: 200, Sigma: 0.969, Reward: -1555.86
Episode: 71, Steps: 200, Sigma: 0.969, Reward: -1570.44
Episode: 72, Steps: 200, Sigma: 0.968, Reward: -1522.72
Episode: 73, Steps: 200, Sigma: 0.968, Reward: -1448.27
Episode: 74, Steps: 200, Sigma: 0.967, Reward: -1498.87
Episode: 75, Steps: 200, Sigma: 0.967, Reward: -1504.21
Episode: 76, Steps: 200, Sigma: 0.966, Reward: -1505.94
Episode: 77, Steps: 200, Sigma: 0.966, Reward: -1445.63
Episode: 78, Steps: 200, Sigma: 0.966, Reward: -1050.51
Episode: 79, Steps: 200, Sigma: 0.965, Reward: -1203.46
Episode: 80, Steps: 200, Sigma: 0.965, Reward: -1494.09
Episode: 81, Steps: 200, Sigma: 0.964, Reward: -1649.65
Episode: 82, Steps: 200, Sigma: 0.964, Reward: -1520.95
Episode: 83, Steps: 200, Sigma: 0.963, Reward: -1612.81
Episode: 84, Steps: 200, Sigma: 0.963, Reward: -1285.11
Episode: 85, Steps: 200, Sigma: 0.963, Reward: -1420.60
Episode: 86, Steps: 200, Sigma: 0.962, Reward: -1278.36
Episode: 87, Steps: 200, Sigma: 0.962, Reward: -1369.70
Episode: 88, Steps: 200, Sigma: 0.961, Reward: -1557.90
Episode: 89, Steps: 200, Sigma: 0.961, Reward: -1604.59
Episode: 90, Steps: 200, Sigma: 0.960, Reward: -1564.74
Episode: 91, Steps: 200, Sigma: 0.960, Reward: -1130.85
Episode: 92, Steps: 200, Sigma: 0.960, Reward: -1345.85
Episode: 93, Steps: 200, Sigma: 0.959, Reward: -1505.44
Episode: 94, Steps: 200, Sigma: 0.959, Reward: -1379.62
Episode: 95, Steps: 200, Sigma: 0.958, Reward: -1301.95
Episode: 96, Steps: 200, Sigma: 0.958, Reward: -1403.97
Episode: 97, Steps: 200, Sigma: 0.957, Reward: -1503.46
Episode: 98, Steps: 200, Sigma: 0.957, Reward: -1415.76
Episode: 99, Steps: 200, Sigma: 0.957, Reward: -1169.79
Episode: 100, Steps: 200, Sigma: 0.956, Reward: -995.75
Episode: 101, Steps: 200, Sigma: 0.956, Reward: -1241.51
Episode: 102, Steps: 200, Sigma: 0.955, Reward: -1249.86
Episode: 103, Steps: 200, Sigma: 0.955, Reward: -1125.32
Episode: 104, Steps: 200, Sigma: 0.954, Reward: -1119.12
Episode: 105, Steps: 200, Sigma: 0.954, Reward: -1508.44
Episode: 106, Steps: 200, Sigma: 0.954, Reward: -1472.60
Episode: 107, Steps: 200, Sigma: 0.953, Reward: -1208.04
Episode: 108, Steps: 200, Sigma: 0.953, Reward: -1036.79
Episode: 109, Steps: 200, Sigma: 0.952, Reward: -1513.66
Episode: 110, Steps: 200, Sigma: 0.952, Reward: -1179.13
Episode: 111, Steps: 200, Sigma: 0.951, Reward: -1303.18
Episode: 112, Steps: 200, Sigma: 0.951, Reward: -1396.33
Episode: 113, Steps: 200, Sigma: 0.951, Reward: -1283.57
Episode: 114, Steps: 200, Sigma: 0.950, Reward: -1211.66
Episode: 115, Steps: 200, Sigma: 0.950, Reward: -1393.48
