Starting training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1101.29
Episode: 10, Steps: 200, Sigma: 0.982, Reward: -1656.23
Episode: 20, Steps: 200, Sigma: 0.965, Reward: -1544.09
Episode: 30, Steps: 200, Sigma: 0.948, Reward: -1589.27
Episode: 40, Steps: 200, Sigma: 0.931, Reward: -1495.55
Episode: 50, Steps: 200, Sigma: 0.914, Reward: -986.14
Episode: 60, Steps: 200, Sigma: 0.898, Reward: -1059.18
Episode: 70, Steps: 200, Sigma: 0.882, Reward: -1284.84
Episode: 80, Steps: 200, Sigma: 0.867, Reward: -1160.36
Episode: 90, Steps: 200, Sigma: 0.852, Reward: -1313.53
Episode: 100, Steps: 200, Sigma: 0.837, Reward: -1488.12
Episode: 110, Steps: 200, Sigma: 0.822, Reward: -1351.71
Episode: 120, Steps: 200, Sigma: 0.808, Reward: -1125.32
Episode: 130, Steps: 200, Sigma: 0.794, Reward: -1381.66
Episode: 140, Steps: 200, Sigma: 0.780, Reward: -1026.11
Episode: 150, Steps: 200, Sigma: 0.767, Reward: -1519.38
Episode: 160, Steps: 200, Sigma: 0.754, Reward: -1190.16
Episode: 170, Steps: 200, Sigma: 0.741, Reward: -1541.55
Episode: 180, Steps: 200, Sigma: 0.728, Reward: -1571.22
Episode: 190, Steps: 200, Sigma: 0.715, Reward: -1565.29
Episode: 200, Steps: 200, Sigma: 0.703, Reward: -1437.46
Episode: 210, Steps: 200, Sigma: 0.691, Reward: -1216.31
Episode: 220, Steps: 200, Sigma: 0.680, Reward: -1559.25
Episode: 230, Steps: 200, Sigma: 0.668, Reward: -1422.00
Episode: 240, Steps: 200, Sigma: 0.657, Reward: -1467.69
Episode: 247, Steps: 200, Sigma: 0.649, Reward: -136.05
Episode: 250, Steps: 200, Sigma: 0.646, Reward: -947.85
Episode: 251, Steps: 200, Sigma: 0.645, Reward: -2.61
Episode: 260, Steps: 200, Sigma: 0.635, Reward: -1583.53
Episode: 270, Steps: 200, Sigma: 0.624, Reward: -1213.61
Episode: 280, Steps: 200, Sigma: 0.614, Reward: -1113.26
Episode: 290, Steps: 200, Sigma: 0.604, Reward: -1585.31
Episode: 300, Steps: 200, Sigma: 0.594, Reward: -1455.21
Episode: 310, Steps: 200, Sigma: 0.584, Reward: -1359.13
Episode: 320, Steps: 200, Sigma: 0.575, Reward: -1582.56
Episode: 330, Steps: 200, Sigma: 0.565, Reward: -1380.03
Episode: 340, Steps: 200, Sigma: 0.556, Reward: -1284.65
Episode: 350, Steps: 200, Sigma: 0.547, Reward: -1232.75
Episode: 360, Steps: 200, Sigma: 0.538, Reward: -1391.15
Episode: 370, Steps: 200, Sigma: 0.529, Reward: -1584.05
Episode: 380, Steps: 200, Sigma: 0.521, Reward: -1196.21
Episode: 390, Steps: 200, Sigma: 0.513, Reward: -947.57
Episode: 398, Steps: 200, Sigma: 0.506, Reward: -234.45
Episode: 400, Steps: 200, Sigma: 0.504, Reward: -1111.83
Episode: 410, Steps: 200, Sigma: 0.496, Reward: -1478.37
Episode: 420, Steps: 200, Sigma: 0.489, Reward: -1540.45
Episode: 430, Steps: 200, Sigma: 0.481, Reward: -1534.01
