Starting CACLA training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1173.62
Episode: 10, Steps: 200, Sigma: 0.982, Reward: -1528.99
Episode: 20, Steps: 200, Sigma: 0.965, Reward: -848.62
Episode: 30, Steps: 200, Sigma: 0.948, Reward: -1358.83
Episode: 40, Steps: 200, Sigma: 0.931, Reward: -1613.45
Episode: 50, Steps: 200, Sigma: 0.914, Reward: -1564.60
Episode: 60, Steps: 200, Sigma: 0.898, Reward: -1592.26
Episode: 70, Steps: 200, Sigma: 0.882, Reward: -1575.93
Episode: 80, Steps: 200, Sigma: 0.867, Reward: -1382.53
Episode: 90, Steps: 200, Sigma: 0.852, Reward: -1434.20
Episode: 100, Steps: 200, Sigma: 0.837, Reward: -1551.12
Episode: 110, Steps: 200, Sigma: 0.822, Reward: -1498.89
Episode: 120, Steps: 200, Sigma: 0.808, Reward: -1400.02
Episode: 130, Steps: 200, Sigma: 0.794, Reward: -1540.86
Episode: 140, Steps: 200, Sigma: 0.780, Reward: -1095.68
Episode: 150, Steps: 200, Sigma: 0.767, Reward: -1353.84
Episode: 160, Steps: 200, Sigma: 0.754, Reward: -1579.11
Episode: 170, Steps: 200, Sigma: 0.741, Reward: -1278.87
Episode: 180, Steps: 200, Sigma: 0.728, Reward: -1082.18
Episode: 190, Steps: 200, Sigma: 0.715, Reward: -1415.44
Episode: 200, Steps: 200, Sigma: 0.703, Reward: -1496.00
Episode: 210, Steps: 200, Sigma: 0.691, Reward: -971.05
Episode: 220, Steps: 200, Sigma: 0.680, Reward: -1223.28
Episode: 230, Steps: 200, Sigma: 0.668, Reward: -965.13
Episode: 240, Steps: 200, Sigma: 0.657, Reward: -1261.45
Episode: 250, Steps: 200, Sigma: 0.646, Reward: -1171.72
Episode: 260, Steps: 200, Sigma: 0.635, Reward: -948.58
Episode: 270, Steps: 200, Sigma: 0.624, Reward: -125.06
Episode: 280, Steps: 200, Sigma: 0.614, Reward: -1172.14
Episode: 290, Steps: 200, Sigma: 0.604, Reward: -1141.16
Episode: 300, Steps: 200, Sigma: 0.594, Reward: -2.25
Episode: 310, Steps: 200, Sigma: 0.584, Reward: -1072.99
Episode: 320, Steps: 200, Sigma: 0.575, Reward: -1040.75
Episode: 330, Steps: 200, Sigma: 0.565, Reward: -1107.74
Episode: 340, Steps: 200, Sigma: 0.556, Reward: -1327.47
Episode: 350, Steps: 200, Sigma: 0.547, Reward: -1389.72
Episode: 360, Steps: 200, Sigma: 0.538, Reward: -7.77
Episode: 370, Steps: 200, Sigma: 0.529, Reward: -1044.38
Episode: 380, Steps: 200, Sigma: 0.521, Reward: -1.94
Episode: 390, Steps: 200, Sigma: 0.513, Reward: -977.09
Episode: 400, Steps: 200, Sigma: 0.504, Reward: -1562.15
Episode: 410, Steps: 200, Sigma: 0.496, Reward: -1568.56
Episode: 420, Steps: 200, Sigma: 0.489, Reward: -1309.64
Episode: 430, Steps: 200, Sigma: 0.481, Reward: -1192.31
Episode: 440, Steps: 200, Sigma: 0.473, Reward: -1256.98
Episode: 450, Steps: 200, Sigma: 0.466, Reward: -1266.85
Episode: 460, Steps: 200, Sigma: 0.459, Reward: -1297.51
Episode: 470, Steps: 200, Sigma: 0.452, Reward: -4.91
Episode: 480, Steps: 200, Sigma: 0.445, Reward: -1105.94
Episode: 490, Steps: 200, Sigma: 0.438, Reward: -132.59
Episode: 500, Steps: 200, Sigma: 0.431, Reward: -3.12
Episode: 510, Steps: 200, Sigma: 0.425, Reward: -1222.35
Episode: 520, Steps: 200, Sigma: 0.418, Reward: -1408.50
Episode: 530, Steps: 200, Sigma: 0.412, Reward: -1233.58
Episode: 540, Steps: 200, Sigma: 0.406, Reward: -1280.11
Episode: 550, Steps: 200, Sigma: 0.400, Reward: -1548.41
Episode: 560, Steps: 200, Sigma: 0.394, Reward: -1227.27
Episode: 570, Steps: 200, Sigma: 0.388, Reward: -1455.74
Episode: 580, Steps: 200, Sigma: 0.382, Reward: -5.01
Episode: 590, Steps: 200, Sigma: 0.377, Reward: -1079.65
Episode: 600, Steps: 200, Sigma: 0.371, Reward: -1032.57
Episode: 610, Steps: 200, Sigma: 0.366, Reward: -1277.97
Episode: 620, Steps: 200, Sigma: 0.360, Reward: -1523.18
Episode: 630, Steps: 200, Sigma: 0.355, Reward: -1165.21
Episode: 640, Steps: 200, Sigma: 0.350, Reward: -128.30
Episode: 650, Steps: 200, Sigma: 0.345, Reward: -1484.12
Episode: 660, Steps: 200, Sigma: 0.340, Reward: -1319.38
Episode: 670, Steps: 200, Sigma: 0.336, Reward: -946.35
Episode: 680, Steps: 200, Sigma: 0.331, Reward: -1524.75
Episode: 690, Steps: 200, Sigma: 0.326, Reward: -899.47
Episode: 700, Steps: 200, Sigma: 0.322, Reward: -1525.16
Episode: 710, Steps: 200, Sigma: 0.318, Reward: -1518.31
Episode: 720, Steps: 200, Sigma: 0.313, Reward: -5.70
Episode: 730, Steps: 200, Sigma: 0.309, Reward: -1198.10
Episode: 740, Steps: 200, Sigma: 0.305, Reward: -1021.80
Episode: 750, Steps: 200, Sigma: 0.301, Reward: -987.95
Episode: 760, Steps: 200, Sigma: 0.297, Reward: -136.25
Episode: 770, Steps: 200, Sigma: 0.293, Reward: -1145.69
Episode: 780, Steps: 200, Sigma: 0.289, Reward: -7.25
Episode: 790, Steps: 200, Sigma: 0.285, Reward: -1521.92
Episode: 800, Steps: 200, Sigma: 0.282, Reward: -1155.67
Episode: 810, Steps: 200, Sigma: 0.278, Reward: -1327.79
Episode: 820, Steps: 200, Sigma: 0.275, Reward: -1520.64
Episode: 830, Steps: 200, Sigma: 0.271, Reward: -5.43
Episode: 840, Steps: 200, Sigma: 0.268, Reward: -1494.98
Episode: 850, Steps: 200, Sigma: 0.264, Reward: -1372.63
Episode: 860, Steps: 200, Sigma: 0.261, Reward: -1393.89
Episode: 870, Steps: 200, Sigma: 0.258, Reward: -7.49
Episode: 880, Steps: 200, Sigma: 0.255, Reward: -1532.49
Episode: 890, Steps: 200, Sigma: 0.252, Reward: -1192.51
Episode: 900, Steps: 200, Sigma: 0.249, Reward: -1151.42
Episode: 910, Steps: 200, Sigma: 0.246, Reward: -1515.65
Episode: 920, Steps: 200, Sigma: 0.243, Reward: -1498.70
Episode: 930, Steps: 200, Sigma: 0.240, Reward: -1524.82
