2025-11-05 17:45:27,936 INFO    MainThread:7708 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_setup.py:_flush():81] Configure stats pid to 7708
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_setup.py:_flush():81] Loading settings from /Users/hyloradotcom/.config/wandb/settings
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_setup.py:_flush():81] Loading settings from /Users/hyloradotcom/Documents/ERAMSUS/KPISseminar/CACLA2/wandb/settings
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /Users/hyloradotcom/Documents/ERAMSUS/KPISseminar/CACLA2/wandb/run-20251105_174527-dag667gi/logs/debug.log
2025-11-05 17:45:27,937 INFO    MainThread:7708 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /Users/hyloradotcom/Documents/ERAMSUS/KPISseminar/CACLA2/wandb/run-20251105_174527-dag667gi/logs/debug-internal.log
2025-11-05 17:45:27,941 INFO    MainThread:7708 [wandb_init.py:init():833] calling init triggers
2025-11-05 17:45:27,941 INFO    MainThread:7708 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'exp_name': 'sac-run', 'seed': 1, 'torch_deterministic': True, 'cuda': True, 'track': True, 'wandb_project_name': 'cacla-vs-cleanrl-benchmark', 'wandb_entity': None, 'capture_video': False, 'env_id': 'Pendulum-v1', 'total_timesteps': 200000, 'buffer_size': 1000000, 'gamma': 0.99, 'tau': 0.005, 'batch_size': 256, 'learning_starts': 5000.0, 'policy_lr': 0.0003, 'q_lr': 0.001, 'policy_frequency': 2, 'target_network_frequency': 1, 'noise_clip': 0.5, 'alpha': 0.2, 'autotune': True, '_wandb': {'code_path': 'code/sac_pendulum_cleanrl.py'}}
2025-11-05 17:45:27,941 INFO    MainThread:7708 [wandb_init.py:init():881] starting backend
2025-11-05 17:45:28,167 INFO    MainThread:7708 [wandb_init.py:init():884] sending inform_init request
2025-11-05 17:45:28,190 INFO    MainThread:7708 [wandb_init.py:init():892] backend started and connected
2025-11-05 17:45:28,191 INFO    MainThread:7708 [wandb_init.py:init():962] updated telemetry
2025-11-05 17:45:28,192 INFO    MainThread:7708 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-05 17:45:28,981 INFO    MainThread:7708 [wandb_init.py:init():1033] starting run threads in backend
2025-11-05 17:45:29,133 INFO    MainThread:7708 [wandb_run.py:_console_start():2506] atexit reg
2025-11-05 17:45:29,133 INFO    MainThread:7708 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-05 17:45:29,133 INFO    MainThread:7708 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-05 17:45:29,133 INFO    MainThread:7708 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-05 17:45:29,135 INFO    MainThread:7708 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-05 17:45:29,135 INFO    MainThread:7708 [wandb_run.py:_tensorboard_callback():1598] tensorboard callback: runs/Pendulum-v1__sac-run__1__1762361127, True
2025-11-05 17:45:29,522 INFO    wandb-AsyncioManager-main:7708 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-05 17:45:29,522 INFO    wandb-AsyncioManager-main:7708 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
