Starting CACLA training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1370.10
Episode: 10, Steps: 200, Sigma: 0.982, Reward: -1381.53
Episode: 20, Steps: 200, Sigma: 0.965, Reward: -1548.11
Episode: 30, Steps: 200, Sigma: 0.948, Reward: -1604.76
Episode: 40, Steps: 200, Sigma: 0.931, Reward: -1589.28
Episode: 50, Steps: 200, Sigma: 0.914, Reward: -1568.17
Episode: 60, Steps: 200, Sigma: 0.898, Reward: -1313.64
Episode: 70, Steps: 200, Sigma: 0.882, Reward: -1496.89
Episode: 80, Steps: 200, Sigma: 0.867, Reward: -1514.49
Episode: 90, Steps: 200, Sigma: 0.852, Reward: -1194.94
Episode: 100, Steps: 200, Sigma: 0.837, Reward: -1388.56
Episode: 110, Steps: 200, Sigma: 0.822, Reward: -1466.72
Episode: 120, Steps: 200, Sigma: 0.808, Reward: -1413.69
Episode: 130, Steps: 200, Sigma: 0.794, Reward: -1352.20
Episode: 140, Steps: 200, Sigma: 0.780, Reward: -1337.80
Episode: 150, Steps: 200, Sigma: 0.767, Reward: -701.04
Episode: 160, Steps: 200, Sigma: 0.754, Reward: -1555.44
Episode: 170, Steps: 200, Sigma: 0.741, Reward: -1214.06
Episode: 180, Steps: 200, Sigma: 0.728, Reward: -1531.55
Episode: 190, Steps: 200, Sigma: 0.715, Reward: -1211.76
Episode: 200, Steps: 200, Sigma: 0.703, Reward: -1573.01
Episode: 210, Steps: 200, Sigma: 0.691, Reward: -1333.42
Episode: 220, Steps: 200, Sigma: 0.680, Reward: -690.31
Episode: 230, Steps: 200, Sigma: 0.668, Reward: -1196.68
Episode: 240, Steps: 200, Sigma: 0.657, Reward: -1075.55
Episode: 250, Steps: 200, Sigma: 0.646, Reward: -1473.07
Episode: 260, Steps: 200, Sigma: 0.635, Reward: -1569.40
Episode: 270, Steps: 200, Sigma: 0.624, Reward: -271.66
Episode: 280, Steps: 200, Sigma: 0.614, Reward: -1298.26
Episode: 290, Steps: 200, Sigma: 0.604, Reward: -1209.80
