Starting CACLA training on Pendulum-v1...
Episode: 0, Steps: 200, Sigma: 1.000, Reward: -1813.30
Episode: 10, Steps: 200, Sigma: 0.982, Reward: -1599.74
Episode: 20, Steps: 200, Sigma: 0.965, Reward: -1621.34
Episode: 30, Steps: 200, Sigma: 0.948, Reward: -1173.89
Episode: 40, Steps: 200, Sigma: 0.931, Reward: -1558.00
Episode: 50, Steps: 200, Sigma: 0.914, Reward: -1492.69
Episode: 60, Steps: 200, Sigma: 0.898, Reward: -1413.74
Episode: 70, Steps: 200, Sigma: 0.882, Reward: -1559.85
Episode: 80, Steps: 200, Sigma: 0.867, Reward: -1553.93
Episode: 90, Steps: 200, Sigma: 0.852, Reward: -1597.01
Episode: 100, Steps: 200, Sigma: 0.837, Reward: -1383.18
Episode: 110, Steps: 200, Sigma: 0.822, Reward: -1334.74
Episode: 120, Steps: 200, Sigma: 0.808, Reward: -1560.42
Episode: 130, Steps: 200, Sigma: 0.794, Reward: -1199.96
Episode: 140, Steps: 200, Sigma: 0.780, Reward: -1088.57
Episode: 150, Steps: 200, Sigma: 0.767, Reward: -1355.04
Episode: 160, Steps: 200, Sigma: 0.754, Reward: -179.80
Episode: 170, Steps: 200, Sigma: 0.741, Reward: -1409.67
Episode: 180, Steps: 200, Sigma: 0.728, Reward: -1590.39
Episode: 190, Steps: 200, Sigma: 0.715, Reward: -1072.45
Episode: 200, Steps: 200, Sigma: 0.703, Reward: -602.64
Episode: 210, Steps: 200, Sigma: 0.691, Reward: -599.47
Episode: 220, Steps: 200, Sigma: 0.680, Reward: -601.67
Episode: 230, Steps: 200, Sigma: 0.668, Reward: -1343.60
Episode: 240, Steps: 200, Sigma: 0.657, Reward: -1540.20
Episode: 250, Steps: 200, Sigma: 0.646, Reward: -1479.83
Episode: 260, Steps: 200, Sigma: 0.635, Reward: -1458.78
Episode: 270, Steps: 200, Sigma: 0.624, Reward: -127.84
Episode: 280, Steps: 200, Sigma: 0.614, Reward: -1398.16
Episode: 290, Steps: 200, Sigma: 0.604, Reward: -130.42
Episode: 300, Steps: 200, Sigma: 0.594, Reward: -1350.25
Episode: 310, Steps: 200, Sigma: 0.584, Reward: -927.17
Episode: 320, Steps: 200, Sigma: 0.575, Reward: -1314.56
Episode: 330, Steps: 200, Sigma: 0.565, Reward: -132.63
Episode: 340, Steps: 200, Sigma: 0.556, Reward: -1560.44
Episode: 350, Steps: 200, Sigma: 0.547, Reward: -1460.24
Episode: 360, Steps: 200, Sigma: 0.538, Reward: -1072.53
Episode: 370, Steps: 200, Sigma: 0.529, Reward: -1594.43
Episode: 380, Steps: 200, Sigma: 0.521, Reward: -5.20
Episode: 390, Steps: 200, Sigma: 0.513, Reward: -1475.48
Episode: 400, Steps: 200, Sigma: 0.504, Reward: -1544.28
Episode: 410, Steps: 200, Sigma: 0.496, Reward: -1552.98
Episode: 420, Steps: 200, Sigma: 0.489, Reward: -241.34
Episode: 430, Steps: 200, Sigma: 0.481, Reward: -1334.03
Episode: 440, Steps: 200, Sigma: 0.473, Reward: -1058.42
Episode: 450, Steps: 200, Sigma: 0.466, Reward: -1546.46
Episode: 460, Steps: 200, Sigma: 0.459, Reward: -1393.48
Episode: 470, Steps: 200, Sigma: 0.452, Reward: -1536.19
Episode: 480, Steps: 200, Sigma: 0.445, Reward: -7.35
Episode: 490, Steps: 200, Sigma: 0.438, Reward: -947.20
Episode: 500, Steps: 200, Sigma: 0.431, Reward: -1537.68
Episode: 510, Steps: 200, Sigma: 0.425, Reward: -1303.88
Episode: 520, Steps: 200, Sigma: 0.418, Reward: -132.87
Episode: 530, Steps: 200, Sigma: 0.412, Reward: -1212.39
Episode: 540, Steps: 200, Sigma: 0.406, Reward: -1414.51
Episode: 550, Steps: 200, Sigma: 0.400, Reward: -1540.94
